original name,title,primary_name,rest_of_name,suffix,fuller_form,numbers,dates,birth date,death date,auth link,source
"Hall, G. Stanley (Granville Stanley), 1844-1924.",,Hall,G. Stanley,,Granville Stanley,,1844-1924,1844,1924,http://id.loc.gov/authorities/names/n50018796,lcnaf
"Moore, George William, b. 1847-1926.",,Moore,George William,,,,1847-1926,1847,1926,,lcnaf
"Matthews, Chandler W.",,Matthews,Chandler W,,,,,,,,lcnaf
"George, Emily.",,George,Emily,,,,,,,,lcnaf
"Polk, James K. (James Knox), 1795-1849.",,Polk,James K.,,James Knox,,1795-1849,1795,1849,http://id.loc.gov/authorities/names/n80145740,lcnaf
"Van Osdel, Oliver Willis, 1846-1935.",,Van Osdel,Oliver Willis,,,,1846-1935,1846,1935,,lcnaf
"Gaulle, Charles de, 1890-1970.",,Gaulle,Charles de,,,,1890-1970,1890,1970,http://id.loc.gov/authorities/names/n79041762,lcnaf
"Ayres, Francis O.",,Ayres,Francis O,,,,,,,http://id.loc.gov/authorities/names/no2010124335,lcnaf
"Moore, James W.",,Moore,James W,,,,,,,,lcnaf
"Edmonson, James Bartlett, 1882-1954.",,Edmonson,James Bartlett,,,,1882-1954,1882,1954,,lcnaf
"Onorato, Michael Paul, 1934-",,Onorato,Michael Paul,,,,b. 1934,1934,,http://id.loc.gov/authorities/names/n50001906,lcnaf
"Hart, Jane Briggs.",,Hart,Jane Briggs,,,,,,,,lcnaf
"Towner, Charles R., 1927-",,Towner,Charles R.,,,,b. 1927,1927,,,lcnaf
"Kahn, Julius, 1861-1924.",,Kahn,Julius,,,,1861-1924,1861,1924,http://id.loc.gov/authorities/names/n97118553,lcnaf
"Gordon, Archibald, Sir.",Sir,Gordon,Archibald,,,,,,,,lcnaf
"Bean, John William, 1901-1987.",,Bean,John William,,,,1901-1987,1901,1987,,lcnaf
"Reid, Neil E., 1871-",,Reid,Neil E.,,,,b. 1871,1871,,,lcnaf
"Warner, Robert M. (Robert Mark), 1927-2007.",,Warner,Robert M.,,Robert Mark,,1927-2007,1927,2007,http://id.loc.gov/authorities/names/n80030604,lcnaf
"Wilcox, Clarence Edward, 1880-1958.",,Wilcox,Clarence Edward,,,,1880-1958,1880,1958,,lcnaf
"Shippen, Rush Rhees, b. 1828.",,Shippen,Rush Rhees,,,,b. 1828,1828,,,lcnaf
"Page, Walter Hines, 1855-1918.",,Page,Walter Hines,,,,1855-1918,1855,1918,http://id.loc.gov/authorities/names/n50051834,lcnaf
"Wiencek, Ruth.",,Wiencek,Ruth,,,,,,,,lcnaf
"Rubin, Lawrence A., 1912-",,Rubin,Lawrence A.,,,,b. 1912,1912,,http://id.loc.gov/authorities/names/n85025934,lcnaf
"Baker, Frank C., Mrs.",Mrs.,Baker,Frank C.,,,,,,,,lcnaf
"Butterfield, Kenyon L. (Kenyon Leech), 1868-1935.",,Butterfield,Kenyon L.,,Kenyon Leech,,1868-1935,1868,1935,http://id.loc.gov/authorities/names/no92015180,lcnaf
"Paneth, Fritz, 1887-1958.",,Paneth,Fritz,,,,1887-1958,1887,1958,http://id.loc.gov/authorities/names/n83826422,lcnaf
"Emmons, H. H. (Harry H.)",,Emmons,H. H.,,Harry H.,,,,,http://id.loc.gov/authorities/names/n79103946,lcnaf
"Debo, Alfred.",,Debo,Alfred,,,,,,,,lcnaf
"Twining, Robert",,Twining,Robert,,,,,,,,lcnaf
"Bevan, Elaine.",,Bevan,Elaine,,,,,,,,lcnaf
"McCurry, John C.",,McCurry,John C,,,,,,,,lcnaf
"Shaw, Leslie Mortier, 1848-1932.",,Shaw,Leslie Mortier,,,,1848-1932,1848,1932,http://id.loc.gov/authorities/names/n88244856,lcnaf
"Bowen, Lydia Graves.",,Bowen,Lydia Graves,,,,,,,,lcnaf
"Powers, John Ward.",,Powers,John Ward,,,,,,,,lcnaf
"Allmendinger, Elizabeth C., 1837-1909.",,Allmendinger,Elizabeth C.,,,,1837-1909,1837,1909,,lcnaf
"Baker, Henry B. (Henry Brooks), 1837-1920.",,Baker,Henry B.,,Henry Brooks,,1837-1920,1837,1920,http://id.loc.gov/authorities/names/no91001162,lcnaf
"Chandler, Elizabeth Margaret, 1835-1923.",,Chandler,Elizabeth Margaret,,,,1835-1923,1835,1923,,lcnaf
"Greenberg, G. Robert.",,Greenberg,G. Robert,,,,,,,,lcnaf
"Mayo, William James, 1861-1939.",,Mayo,William James,,,,1861-1939,1861,1939,http://id.loc.gov/authorities/names/n50007348,lcnaf
"Perigo, Donald J.",,Perigo,Donald J,,,,,,,,lcnaf
"Duey, Philip A., d. 1982.",,Duey,Philip A.,,,,d. 1982,,1982,,lcnaf
"Hayward, Ralph A., 1895-1951.",,Hayward,Ralph A.,,,,1895-1951,1895,1951,,lcnaf
"Meerse, Marvin M., 1910-1978.",,Meerse,Marvin M.,,,,1910-1978,1910,1978,,lcnaf
"Murphy, M. J.",,Murphy,M. J,,,,,,,,lcnaf
"Davies, Thomas F.",,Davies,Thomas F,,,,,,,,lcnaf
"Dondero, George Anthony, 1883-1968.",,Dondero,George Anthony,,,,1883-1968,1883,1968,http://id.loc.gov/authorities/names/no97044504,lcnaf
"Raab, Alice Cary, 1873-1964.",,Raab,Alice Cary,,,,1873-1964,1873,1964,,lcnaf
"Raff, Joachim, 1822-1882.",,Raff,Joachim,,,,1822-1882,1822,1882,http://id.loc.gov/authorities/names/n82055934,lcnaf
"Coonent, James.",,Coonent,James,,,,,,,,lcnaf
"Harlow, Amos R.",,Harlow,Amos R,,,,,,,,lcnaf
"O'Brien, John H.",,O'Brien,John H,,,,,,,,lcnaf
"Wilder, George D. (George Durand), b. 1869.",,Wilder,George D.,,George Durand,,b. 1869,1869,,,lcnaf
"Dale, Albert Ennis, 1890-1954.",,Dale,Albert Ennis,,,,1890-1954,1890,1954,http://id.loc.gov/authorities/names/no2009004749,lcnaf
"Wesselius, Sybrant, b. 1859.",,Wesselius,Sybrant,,,,b. 1859,1859,,,lcnaf
"Mark, Michael L.",,Mark,Michael L,,,,,,,,lcnaf
"Berger, Carl F.",,Berger,Carl F,,,,,,,http://id.loc.gov/authorities/names/n88618828,lcnaf
"Pettit, Edison, 1889-1962",,Pettit,Edison,,,,1889-1962,1889,1962,http://id.loc.gov/authorities/names/no2009004916,lcnaf
"Bohr, Niels, 1885-1962.",,Bohr,Niels,,,,1885-1962,1885,1962,,lcnaf
"Buckbee, Henry Cheever.",,Buckbee,Henry Cheever,,,,,,,,lcnaf
"Williams, Asa, 1802-1869.",,Williams,Asa,,,,1802-1869,1802,1869,,lcnaf
"Grabar, Oleg.",,Grabar,Oleg,,,,,,,http://id.loc.gov/authorities/names/n79006617,lcnaf
"Davidow, Larry.",,Davidow,Larry,,,,,,,,lcnaf
"Ayres, Clarence Edwin, 1891-1972.",,Ayres,Clarence Edwin,,,,1891-1972,1891,1972,http://id.loc.gov/authorities/names/n79011158,lcnaf
"Yorty, Samuel William, 1909-",,Yorty,Samuel William,,,,b. 1909,1909,,,lcnaf
"Innes, Wm. P. (William Powers), 1826-1893.",,Innes,Wm. P.,,William Powers,,1826-1893,1826,1893,,lcnaf
"Smith, Anna Ellen, 1899-1977.",,Smith,Anna Ellen,,,,1899-1977,1899,1977,,lcnaf
"Stone, Julius Frederick, 1855-1947.",,Stone,Julius Frederick,,,,1855-1947,1855,1947,http://id.loc.gov/authorities/names/no2009004726,lcnaf
"Elliot, Daniel Giraud, 1835-1915.",,Elliot,Daniel Giraud,,,,1835-1915,1835,1915,http://id.loc.gov/authorities/names/n79117154,lcnaf
"Coombs, Lolagene C.",,Coombs,Lolagene C,,,,,,,,lcnaf
"Kelly, Howard A. (Howard Atwood), 1858-1943.",,Kelly,Howard A.,,Howard Atwood,,1858-1943,1858,1943,http://id.loc.gov/authorities/names/n83825735,lcnaf
"Rabin, Yitzhak, 1922-1995",,Rabin,Yitzhak,,,,1922-1995,1922,1995,http://id.loc.gov/authorities/names/n80038008,lcnaf
"Kapenga, Gladys",,Kapenga,Gladys,,,,,,,,lcnaf
"Kellogg, James Lawrence, 1866-1938.",,Kellogg,James Lawrence,,,,1866-1938,1866,1938,,lcnaf
"Ogatis, C.",,Ogatis,C,,,,,,,,lcnaf
"Cooke, Edmund Vance, 1866-1932.",,Cooke,Edmund Vance,,,,1866-1932,1866,1932,http://id.loc.gov/authorities/names/no95011814,lcnaf
"Tatlock, Henry, 1848-1942.",,Tatlock,Henry,,,,1848-1942,1848,1942,,lcnaf
"Whittier, John Greenleaf, 1807-1892.",,Whittier,John Greenleaf,,,,1807-1892,1807,1892,http://id.loc.gov/authorities/names/n80034928,lcnaf
"Schwartz, Elliott, 1936-",,Schwartz,Elliott,,,,b. 1936,1936,,http://id.loc.gov/authorities/names/n81018884,lcnaf
"Edwards, William J.",,Edwards,William J,,,,,,,,lcnaf
"Blum, Nancy, collector",,Blum,Nancy,collector,,,,,,,lcnaf
"Bingham, Mary Warden.",,Bingham,Mary Warden,,,,,,,,lcnaf
"Sorensen, Charles E., 1881-1968.",,Sorensen,Charles E.,,,,1881-1968,1881,1968,http://id.loc.gov/authorities/names/n2005075179,lcnaf
"King, B. B.",,King,B. B,,,,,,,http://id.loc.gov/authorities/names/n82006577,lcnaf
"Baldwin, Charles.",,Baldwin,Charles,,,,,,,,lcnaf
"Krimm, Marilyn.",,Krimm,Marilyn,,,,,,,http://id.loc.gov/authorities/names/no98036370,lcnaf
"Williams, G. Mennen, 1911-",,Williams,G. Mennen,,,,b. 1911,1911,,,lcnaf
"Slocum, William W., 1891-",,Slocum,William W.,,,,b. 1891,1891,,,lcnaf
"Jones, Howard Mumford, 1892-1980",,Jones,Howard Mumford,,,,1892-1980,1892,1980,http://id.loc.gov/authorities/names/n78096067,lcnaf
"Watson, Russell, 1891-",,Watson,Russell,,,,b. 1891,1891,,,lcnaf
"Baldwin, Raymond E. (Raymond Earl), 1893-1986",,Baldwin,Raymond E.,,Raymond Earl,,1893-1986,1893,1986,http://id.loc.gov/authorities/names/n93022476,lcnaf
"Sheng, Bright, 1955-",,Sheng,Bright,,,,b. 1955,1955,,http://id.loc.gov/authorities/names/nr91044004,lcnaf
"Willits, Mr. (Edwin), 1830-1896.",Mr.,Willits,,,Edwin,,1830-1896,1830,1896,http://id.loc.gov/authorities/names/no94032288,lcnaf
"Ladd, Kate Macy, 1863-1945.",,Ladd,Kate Macy,,,,1863-1945,1863,1945,,lcnaf
"Schoening, Robert W.",,Schoening,Robert W,,,,,,,,lcnaf
"Axelrod, Solomon Jacob, 1912-1987.",,Axelrod,Solomon Jacob,,,,1912-1987,1912,1987,,lcnaf
"Belfield, Henry Holmes, 1837-1912.",,Belfield,Henry Holmes,,,,1837-1912,1837,1912,http://id.loc.gov/authorities/names/n2003010966,lcnaf
"Ardrey, William C.",,Ardrey,William C,,,,,,,http://id.loc.gov/authorities/names/no99004731,lcnaf
"Burr, George L. (George Lindsley), 1889-1971",,Burr,George L.,,George Lindsley,,1889-1971,1889,1971,http://id.loc.gov/authorities/names/no2009004778,lcnaf
"Piconke, Joseph.",,Piconke,Joseph,,,,,,,,lcnaf
"Humphrey, Norman Daymond.",,Humphrey,Norman Daymond,,,,,,,http://id.loc.gov/authorities/names/no2003033195,lcnaf
"Jessup, Walter A. (Walter Albert), 1877-1944",,Jessup,Walter A.,,Walter Albert,,1877-1944,1877,1944,http://id.loc.gov/authorities/names/n2012013244,lcnaf
"Clemens, Mary Strong, 1873-1968.",,Clemens,Mary Strong,,,,1873-1968,1873,1968,,lcnaf
"Cassino, Samuel Edson, 1856-1937.",,Cassino,Samuel Edson,,,,1856-1937,1856,1937,http://id.loc.gov/authorities/names/nr2001026928,lcnaf
"Bernstein, Richard B. (Richard Barry), 1923-1990",,Bernstein,Richard B.,,Richard Barry,,1923-1990,1923,1990,http://id.loc.gov/authorities/names/n82019590,lcnaf
"Keller, Geoffrey, 1918-",,Keller,Geoffrey,,,,b. 1918,1918,,http://id.loc.gov/authorities/names/no2015019594,lcnaf
"Ticknor, Benajah, 1788-1858.",,Ticknor,Benajah,,,,1788-1858,1788,1858,http://id.loc.gov/authorities/names/n90713560,lcnaf
"Jamison, Andrew.",,Jamison,Andrew,,,,,,,,lcnaf
"Baker, Oscar W.",,Baker,Oscar W,,,,,,,,lcnaf
"Bingay, Malcolm Wallace, 1884-",,Bingay,Malcolm Wallace,,,,b. 1884,1884,,,lcnaf
"Cabot, Hugh, 1872-1945.",,Cabot,Hugh,,,,1872-1945,1872,1945,http://id.loc.gov/authorities/names/n86111262,lcnaf
"Hanna, Isaac, 1848-1908.",,Hanna,Isaac,,,,1848-1908,1848,1908,,lcnaf
"Rosenberg, Julius, 1918-1953.",,Rosenberg,Julius,,,,1918-1953,1918,1953,http://id.loc.gov/authorities/names/n50048380,lcnaf
"Milan, Carl Hastings, 1884-1963.",,Milan,Carl Hastings,,,,1884-1963,1884,1963,,lcnaf
"Eynon, Bret.",,Eynon,Bret,,,,,,,,lcnaf
"Wiest, Howard, 1864-1945.",,Wiest,Howard,,,,1864-1945,1864,1945,,lcnaf
"Baruch, Bernard M. (Bernard Mannes), 1870-1965.",,Baruch,Bernard M.,,Bernard Mannes,,1870-1965,1870,1965,http://id.loc.gov/authorities/names/n50023552,lcnaf
"Lewis, Donald J. (Donald John), 1926-",,Lewis,Donald J.,,Donald John,,b. 1926,1926,,http://id.loc.gov/authorities/names/n88671053,lcnaf
"Brownrigg, William, 1893-1969.",,Brownrigg,William,,,,1893-1969,1893,1969,,lcnaf
"Sorensen, Theodore C.",,Sorensen,Theodore C,,,,,,,http://id.loc.gov/authorities/names/n50014125,lcnaf
"Bowie, Walter Russell, 1882-1969.",,Bowie,Walter Russell,,,,1882-1969,1882,1969,http://id.loc.gov/authorities/names/n82084158,lcnaf
"Cohen, Barnett, 1891-1952.",,Cohen,Barnett,,,,1891-1952,1891,1952,http://id.loc.gov/authorities/names/nr00007258,lcnaf
"Taylor, Zachary, 1784-1850.",,Taylor,Zachary,,,,1784-1850,1784,1850,http://id.loc.gov/authorities/names/n50008436,lcnaf
"Campbell, Robert H.",,Campbell,Robert H,,,,,,,,lcnaf
"Strauss, Louis Abraham, 1872-1938.",,Strauss,Louis Abraham,,,,1872-1938,1872,1938,,lcnaf
"Frank, Richard C.",,Frank,Richard C,,,,,,,,lcnaf
"Spier, Leslie, 1893-1961.",,Spier,Leslie,,,,1893-1961,1893,1961,http://id.loc.gov/authorities/names/n50021190,lcnaf
"Allison, Bob, 1934-1995",,Allison,Bob,,,,1934-1995,1934,1995,http://id.loc.gov/authorities/names/n85120053,lcnaf
"Robins, F. George.",,Robins,F. George,,,,,,,,lcnaf
"Sarri, Rosemary C.",,Sarri,Rosemary C,,,,,,,http://id.loc.gov/authorities/names/n50015596,lcnaf
"Bagwell, Paul D.",,Bagwell,Paul D,,,,,,,,lcnaf
"O'Hara, Michael Daniel, 1910-",,O'Hara,Michael Daniel,,,,b. 1910,1910,,,lcnaf
"Phillips, Albert James, 1899-",,Phillips,Albert James,,,,b. 1899,1899,,,lcnaf
"Long, John Davis, 1838-1915.",,Long,John Davis,,,,1838-1915,1838,1915,http://id.loc.gov/authorities/names/n79072654,lcnaf
"Toy, James W., 1930-",,Toy,James W.,,,,b. 1930,1930,,,lcnaf
"Crafts, Edward C. (Edward Clayton), 1910-",,Crafts,Edward C.,,Edward Clayton,,b. 1910,1910,,,lcnaf
"Peabody, Francis Greenwood, 1847-1936.",,Peabody,Francis Greenwood,,,,1847-1936,1847,1936,http://id.loc.gov/authorities/names/n50012379,lcnaf
"Cook, Blanche Wiesen.",,Cook,Blanche Wiesen,,,,,,,http://id.loc.gov/authorities/names/n80139782,lcnaf
"French, William M. R. (William Merchant Richardson), 1843-1914.",,French,William M. R.,,William Merchant Richardson,,1843-1914,1843,1914,http://id.loc.gov/authorities/names/n92006083,lcnaf
"Fife, Robert Herndon, 1871-1958.",,Fife,Robert Herndon,,,,1871-1958,1871,1958,http://id.loc.gov/authorities/names/n87114479,lcnaf
"Ferrazza, Jess, 1916-",,Ferrazza,Jess,,,,b. 1916,1916,,,lcnaf
"Southard, Earl.",,Southard,Earl,,,,,,,,lcnaf
