extent name,number of discrete appearances of extent type in EAD files,total extent size through all collections
color print,7,7.0
fifteen architectural,7,0
fourteen architectural,7,0
in box,7,217.0
linear inch,7,7.0
one DAT,7,0
plumbing drawings,7,0
reel-to-reel tapes,7,14.0
small box,7,7.0
tape,7,7.0
two folders,7,0
/[x] hours,6,14.0
CD-ROM,6,4.0
MB,6,1169.27
TIFF files,6,0
Thirty-five prints,6,0
Thirty-six prints,6,0
VHS cassette,6,6.0
VHS videotape,6,3.0
audiocassettes,6,407.0
cd-r,6,21.0
compact discs,6,63.0
different prints,6,16.0
folders 1-6,6,0
including [x] Gibson prints,6,0
items in [x] folders,6,695.0
"one 5"" reels",6,0
oversize volume,6,7.0
parts,6,12.0
portfolio,6,6.0
reel-to-reel tape,6,6.0
scattered issues,6,0
six cassettes,6,0
slides in folder,6,122.0
sound cassette,6,6.0
utility,6,0
videocassettes,6,28.0
x[x] inches,6,0
([x] volume),5,0
2,5,0
4-inch reel,5,0
:[x] min,5,0
DAMN YOU,5,0
DVDs,5,52.0
GB,5,5.1
MICROSOFT!,5,0
One drawing,5,0
Tapes,5,13.0
Thirty-nine prints,5,0
U-matic tape,5,5.0
audiocassette,5,5.0
audiocassette tapes,5,53.0
card,5,5.0
cassette [x] minutes,5,2.0
eleven prints,5,0
fifteen prints,5,0
five cassettes,5,0
hours,5,19.0
lin. ft.),5,12.899999999999999
linear foot,5,5.0
linear in,5,33.0
missing volumes II,5,0
one black,5,0
pencil,5,0
portfolios,5,11.0
prints in [x] folders,5,171.0
sides,5,14.0
six prints,5,0
sound cassettes,5,42.0
sound tape reels,5,14.0
sound tape reels: [x] 3/[x] ips; [x] in,5,15.0
white,5,0
""" reel",4,2.0
-minute cassette tape,4,4.0
/[x] ips,4,16.0
30:00,4,0
CD-Rs,4,10.0
III,4,0
Thirty-four prints,4,0
Thirty-three prints,4,0
VHS tape,4,4.0
VHS videotapes,4,16.0
Volumes,4,72.0
audio tape reels,4,10.0
bundles,4,18.0
cans,4,12.0
color                                     prints,4,0
color snapshots,4,56.0
eight prints,4,0
eighteen prints,4,0
expandable folder folders,4,4.0
folders 1-3,4,0
interviews,4,9.0
lin.ft,4,6.6000000000000005
negative) located in microfilm cabinet,4,0
"one 5"" reel",4,0
one 8x10-inch,4,0
one electrostatic print,4,0
outsize,4,0
outsize folders,4,16.0
outsize located in box 76,4,4.0
oversize volumes,4,98.0
posters,4,16.0
prints in [x] envelopes,4,526.0
reel of microfilm (positive,4,4.0
reels retained,4,31.0
reels; color,4,23.0
reports,4,63.0
scrapbooks,4,10.0
sheets in [x] folders,4,303.0
"six 7"" reels",4,0
six perspectives,4,0
sketches,4,0
sound tape reel: 3-3/[x] ips; [x] in,4,4.0
three architectural drawings,4,0
three ring binder,4,2.0
twelve prints,4,0
"two [x] 1/2"" reels",4,0
two volumes,4,0
volumes in [x] expandable folders,4,55.0
volumes in [x] folder,4,8.0
white positive prints,4,0
([x] reels,3,0
-1/2x5,3,843.0
-3/[x] ips,3,0
0:30,3,0
1-15,3,0
16-30,3,0
29:41,3,0
5-inch reel,3,0
6-inch,3,0
9:30,3,0
DVD copy,3,3.0
Forty-one prints,3,0
One 7-1/2x9-1/2-inch,3,0
TIFF file,3,0
Tape,3,3.0
Thirty-two prints,3,0
Three prints,3,0
Two prints,3,0
U-matic cassettes,3,7.0
VHS,3,4.0
VHS cassettes,3,6.0
VI-VIII,3,0
audio cassette,3,3.0
audio tape reel,3,3.0
audiocassette tape,3,3.0
b&w slide in folder,3,3.0
black & white,3,17.0
black-and-white                                         prints,3,0
black-and-white prints by unknown photographer,3,0
blueprint,3,3.0
bound set,3,3.0
brochures,3,8.0
ca. [x] negatives,3,375.0
color prints in two folders,3,0
different portraits,3,8.0
dvds,3,12.0
eds,3,6.0
eleven architectural,3,0
folders in [x] expandable folder,3,77.0
in,3,14.0
in. reel,3,15.0
inches,3,17.0
ips,3,11.25
items),3,12.0
landscape drawings,3,0
lin ft,3,13.4
liner ft,3,9.5
map: ms,3,3.0
mechanical drawings,3,0
microfilm rolls,3,56.0
missing volumes I,3,0
mm color slides,3,298.0
nine architectural,3,0
nineteen architectural,3,0
one by Balthazar Korab,3,0
one by Greg Hursley,3,0
one volume,3,0
only one revised,3,0
oversize folder,3,3.0
packet,3,3.0
pamphlets,3,23.0
pdf,3,0
pencil on tracing paper,3,2.0
photo,3,10.0
photographs),3,10.0
pocket folders,3,7.0
reel of [x] retained,3,3.0
reels of [x] retained,3,7.0
scrapbook,3,3.0
seventeen architectural,3,0
sixteen architectural,3,0
sixteen prints,3,0
slides in [x] boxes,3,310.0
small boxes,3,11.0
sound tape reel (ca. [x] min.),3,3.0
sound tape reel: 7-1/[x] ips; [x] in,3,3.0
tape reels,3,13.0
thirty-four prints,3,0
twelve architectural,3,0
twenty prints,3,0
twenty-four prints,3,0
twenty-two architectural,3,0
vhs tapes,3,34.0
vols. in [x] folders,3,33.0
volumes in [x] folders,3,17.0
white positive print,3,0
x10,3,0
x7,3,0
zip disks,3,18.0
""" discs",2,6.0
([x] pages,2,0
([x] v.),2,0
-[x] of [x] folders,2,0
/[x] rpm,2,66.0
10:00,2,0
12:00,2,0
13:30,2,0
1934-1936,2,0
26:22,2,0
27:25,2,0
28:30,2,0
28:50,2,0
4:16,2,0
5:30,2,0
61-70,2,0
7-inch reel,2,0
90:00,2,0
BL002011-BL0021019,2,0
BL002020-BL002022,2,0
BL002025-BLl002037,2,0
BL002038-BL002044,2,0
BL002046-BL002060,2,0
BL002061-BL002066,2,0
BL002068-BL002975,2,0
Bl002001-BL002009,2,0
Forty-four prints,2,0
JPG file),2,0
PA,2,0
Photographer,2,0
Thirty-eight prints,2,0
Thirty-five 7-1/2x9-1/2-inch,2,0
Thirty-one prints,2,0
Twenty-five 7-1/2x9-1/2-inch,2,0
Twenty-seven 7-1/2x9-1/2-inch,2,0
Twenty-two 7-1/2x9-1/2-inch,2,0
Two 7-1/2x9-1/2-inch,2,0
Two sketches,2,0
U-Matic tapes,2,8.0
VIII,2,0
Volume,2,2.0
[[x] volumes],2,0
annual folders,2,40.0
audio-cassettes,2,15.0
b&w image,2,2.0
b&w photos,2,38.0
black & white image,2,2.0
black binder,2,2.0
black-and-white photographs on                                         mat board,2,0
blue binder,2,2.0
bound sheets,2,52.0
bound vol,2,3.0
ca. [x] drawings,2,195.0
ca. [x] images,2,1592.0
ca. [x] items,2,175.0
ca. [x] linear feet,2,20.0
ca. [x] photographs,2,1430.0
ca. [x] titles,2,865.0
cassettes),2,4.0
cd cs,2,2.0
color                                         prints,2,0
color slides in folder,2,47.0
contents of [x] notebooks,2,0
copies),2,4.0
different houses,2,0
different printings,2,0
eight cassettes,2,0
elevation,2,0
eleven cassettes,2,0
envelopes in [x] folder,2,12.0
expandable file folder,2,2.0
expandable folders folders,2,4.0
fifty-one prints,2,0
file boxes,2,4.0
"five 7"" reels",2,0
five architectural,2,0
five architectural drawings,2,0
floppy disks,2,5.0
folder [x] of 2,2,0
folder),2,2.0
folder; [x] volume,2,2.0
folders 1-4,2,0
folders 1-5,2,0
folders 1-7,2,0
folders; [x] items,2,4.0
"four 7"" reels",2,0
four folders,2,0
fourteen prints,2,0
hour,2,2.0
hour [x] minutes,2,2.0
illustrations,2,19.0
in [x] box,2,0
in binder,2,0
ind,2,0
items in oversize folder,2,9.0
items including [x] Gibson print,2,6.0
l volume,2,0
letters,2,8.0
lin. ft.; contents not listed,2,0.9
linear  ft,2,67.5
loose item,2,2.0
map,2,2.0
medium ,2,0
microcassette tapes,2,36.0
microfilm reel,2,2.0
missing volume I,2,0
missing volumes I-III,2,0
missing volumes VI-VIII,2,0
mm,2,12.0
mostly 8x10,2,0
negatives in [x] folders,2,76.0
negatives in one envelope,2,10.0
nine prints,2,0
nineteen prints,2,0
notebooks folders,2,8.0
notebooks in [x] folders,2,11.0
one,2,0
one architectural drawing,2,0
one cassettes,2,0
one copy print,2,0
one elevation,2,0
one folder,2,0
"one marked ""void""",2,0
one pencil-on-vellum,2,0
one site plan,2,0
one site plan drawing,2,0
one undated,2,0
original files,2,55.0
outsize notebook,2,1.0
outsize photographs,2,4.0
outsize volumes,2,47.0
oversize folder Ac,2,2.0
oversize folders,2,5.0
pamphlet boxes,2,4.0
pgs,2,1024.0
photocopies,2,2.0
plates; [x] broken,2,11.0
presentation boards,2,4.0
presentation boards folders,2,4.0
print (see also [x] oversize print),2,2.0
printed script,2,0
prints),2,6.0
recording wire,2,2.0
reel microfilm,2,2.0
reel of [x] mm film,2,2.0
reels of [x] mm film,2,12.0
reels of microfilm,2,12.0
reports in [x] expandable folder,2,50.0
scattered,2,0
section drawings,2,0
seven architectural,2,0
seven cassettes,2,0
sheets : various media ; [x] x [x] cm. (25-5/[x] x 33-1/[x] in.) or smaller,2,21.0
site plan,2,0
sixteen drawings,2,0
slide  boxes,2,4.0
slide box,2,2.0
sound tape reel (ca. [x] min.): [x] 1/[x] ips; [x] in,2,2.0
sound tape reel: [x] 3/[x] ips; [x] in,2,2.0
tape: 14:[x] min,2,2.0
ten drawings,2,0
ten pads,2,0
thirteen architectural,2,0
thirteen prints,2,0
thirty-eight perspectives,2,0
thirty-five architectural,2,0
thirty-seven architectural,2,0
thirty-two prints,2,0
thirty-two survey,2,0
three DATs,2,0
three drawings,2,0
three folders of [x] 8x10-inch,2,0
titles,2,372.0
transcription,2,1.0
twenty color slides,2,0
twenty-five prints,2,0
twenty-one architectural,2,0
twenty-one prints,2,0
twenty-six architectural,2,0
twenty-three prints,2,0
two 8x10-inch,2,0
two by Balthazar Korab,2,0
two drafts,2,0
two renderings,2,0
versions,2,4.0
volume in [x] folders,2,2.0
volumes/bundles,2,159.0
white image,2,0
white photograph,2,0
x6-inch,2,19.0
,1,0
""" computer disks",1,14.0
""" disks",1,10.0
""" floppy disks",1,4.0
""" inch reels",1,3.0
""" phonorecord",1,1.0
""" reel-to-reel tapes",1,25.0
"""x2"" color slides",1,11.0
#3-[x] of [x] posters,1,0
( item,1,0
( prints,1,0
(Heavily noted. Copied from 1986.004.00222.),1,0
(Two items,1,0
([x] audiotape,1,0
([x] binders,1,0
([x] black & white images of Portia,1,0
([x] cassettes,1,0
([x] copies,1,0
([x] copies),1,0
([x] expandable folders),1,0
([x] files) ([x] CD-R),1,0
([x] floppy disks,1,0
([x] folders,1,0
([x] folders; not all years represented,1,0
([x] reels; color,1,0
([x] tapes),1,0
([x] vols.),1,0
([x] zip disks included),1,0
(bound volume),1,0
(cassette,1,1.0
(photos),1,3.0
-1/2x 9-1/2-inch,1,0
-1/2x11-1/[x] inches,1,0
-1/2x3,1,0
-1/2x4-1/[x] inches,1,0
-1/2x5-1/2,1,236.0
-1/2x9-1/2-inch,1,104.0
-1/2x[x] to 4x6-inch,1,228.0
-1/4x30-1/[x] & 21-1/4x29-1/[x] inches,1,0
-3/4x23-1/[x] inches,1,0
-3/4x29-1/[x] & 25-1/2x[x] inches,1,0
-3/4x48-3/[x] inches,1,0
-minute cassette tape),1,1.0
-minute cassette tapes,1,2.0
/[x] in,1,7.0
/[x] in. reel,1,1.0
/[x] track stereo,1,0
0 7-inch reel to reel tapes,1,0
1-10,1,0
10-inch,1,0
10-inch reel to real tapes.,1,0
101-115,1,0
101-121,1,0
10:06,1,0
10:30,1,0
10:35,1,0
11,1,0
11-20,1,0
116-130,1,0
11:04,1,0
12:11,1,0
12:19,1,0
12:20,1,0
131-145,1,0
13:00,1,0
13:20,1,0
146-160,1,0
14:02,1,0
14:15,1,0
14:20,1,0
14:21,1,0
14:30,1,0
14:53,1,0
15:00,1,0
15:20,1,0
15:30,1,0
15:50,1,0
15:59,1,0
161-185,1,0
16:00,1,0
16:05,1,0
16:28,1,0
17:05,1,0
17:07,1,0
17:10,1,0
18:26,1,0
18:42,1,0
18:49,1,0
1913,1,0
1933-1942,1,0
1986-1996,1,0
19:00,1,0
1:09,1,0
1:10,1,0
1:20,1,0
1:20:35,1,0
1:29,1,0
1:30,1,0
1:35,1,0
1:58:54,1,0
20,1,0
20:00,1,0
20:32,1,0
20:40,1,0
21-30,1,0
21:00,1,0
21:30,1,0
22:00,1,0
22:32,1,0
23:39,1,0
24:00,1,0
24:07,1,0
24:09,1,0
25-inch,1,0
25:33,1,0
25:40,1,0
27:31,1,0
27:55,1,0
28:05,1,0
28:15,1,0
28:46,1,0
28:53,1,0
28:55,1,0
29:00,1,0
29:09,1,0
29:10,1,0
29:20,1,0
29:28,1,0
29:32,1,0
29:33,1,0
29:42,1,0
29:45,1,0
29:48,1,0
29:51,1,0
29:52,1,0
29:55,1,0
2:09,1,0
2:14,1,0
2:30,1,0
2:35,1,0
2:53,1,0
3,1,0
30,1,0
30:09,1,0
30:10,1,0
30:48,1,0
31-40,1,0
31-45,1,0
31-47,1,0
31-50,1,0
31:00,1,0
31:34,1,0
34-50,1,0
39:35,1,0
3:15,1,0
3:18,1,0
3:30,1,0
3:42,1,0
3:51,1,0
3:57,1,0
4,1,0
4-inch. reel-to-reels,1,0
42:18,1,0
43:56,1,0
45:41,1,0
46-60,1,0
48-60,1,0
4:00,1,0
4:13,1,0
4:20,1,0
4:26,1,0
4:30,1,0
51-60,1,0
51-71,1,0
54:00,1,0
54:30,1,0
55:00,1,0
55:21,1,0
55:54,1,0
57:47,1,0
57:49,1,0
58:28,1,0
58:30,1,0
58:33,1,0
59:00,1,0
59:25,1,0
5:19,1,0
5:40,1,0
60:00,1,0
61-81,1,0
63:00,1,0
6:13,1,0
6:50,1,0
7-inch reel-to-reel tape,1,0
7-inch reel-to-reel tapes,1,0
7-inch reels,1,0
71-80,1,0
71-90,1,0
72-87,1,0
75:00,1,0
7:30,1,0
7:40,1,0
7:45,1,0
7:50,1,0
80:45,1,0
81-90,1,0
87:31,1,0
88-100,1,0
8:00,1,0
8:09,1,0
8:30,1,0
8:33,1,0
8:34,1,0
91-100,1,0
95:00,1,0
9:15,1,0
9:25,1,0
9:26,1,0
9:40,1,0
:27,1,0
:28:[x] min,1,0
Allentown,1,0
Beta tapes,1,1.0
Binders of Exhibits,1,4.0
Books 1-6,1,0
Bound Volumes,1,2.0
CD),1,1.0
CD-R of the exhibit,1,1.0
CD-ROM disk,1,1.0
CD-ROMs,1,6.0
CDs in [x] folder,1,3.0
Commercial Photographers,1,0
Contains CD with Powerpoint,1,0
DVD-R,1,0
DVD-Rs,1,2.0
DVD: 8:[x] min,1,1.0
Detroit News Airphoto,1,0
Eight 7-1/2x9-1/2-inch,1,0
Eight prints of chair,1,0
Eight-hundred-fourteen 8x10-inch,1,0
Eighteen 8x10-inch,1,0
Eighty 7-1/2x9-1/2-inch,1,0
Fifteen prints,1,0
Fifty black,1,0
Fifty prints,1,0
Fifty-two prints,1,0
Files,1,55.0
Five 7-1/2x9-3/4-inch,1,0
Five 7-1/2x91/2-inch,1,0
Five [x] 1/[x] rpm Phonograph Records,1,0
Forty sheets,1,0
Forty-eight black,1,0
Forty-four 4x6-inch color prints,1,0
Forty-seven 7-1/2x9-1/2-inch,1,0
Forty-seven sheets,1,0
Forty-six prints,1,0
Forty-three 7-1/2x9-1/2-inch,1,0
Forty-two prints,1,0
"Four 11"" by 14"" prints",1,0
Four 3-3/4x4-3/4-inch,1,0
Four 7-1/2x9-1/2-inch,1,0
Four [x] 1/[x] rpm Phonograph Records,1,0
Four prints,1,0
Four sheets,1,0
Four slide boxes,1,0
Fourteen 2-3/4x4-1/2-inch,1,0
Fragments,1,0
GB; 22,1,1.8
George Murphy,1,0
Gloria Swanson,1,0
II,1,0
Imperial Wizard of Ku Klux Klan,1,0
Inc,1,0
June,1,0
Kay,1,0
Lantern slides,1,0
Lark,1,0
MHT file),1,0
Manuscript bound in three volumes,1,0
May,1,0
May be bad,1,0
Micro AA,1,0
Mini D digital cassettes,1,3.0
NIS 15969,1,0
Nine 8x10-inch,1,0
Nineteen 7-1/2x9-1/2-inch,1,0
Nineteen prints,1,0
Numbers:,1,9.0
One 7x9-inch,1,0
One 8x10-inch,1,0
One electrostatic print on mylar,1,0
One print,1,0
Outsize Volumes,1,13.0
Oversize volume,1,0
Pages 1-302,1,0
Pages 303-661,1,0
Pages 662-837,1,0
Pencil sketches on two blue-line prints,1,0
Polaroid prints,1,0
Pottstown,1,0
Primarily 1960-1978,1,0
RT: 10:10,1,0
Seven 7x9-inch prints,1,0
Seven 8-1/2x10-inch,1,0
Seven 8x10-inch,1,0
Seven sheets,1,0
Seventeen 8x10-inch,1,0
Seventy-four 1-1/4x2-inch photographic negatives,1,0
Six drawings,1,0
Six renderings on six illustration boards,1,0
Son,1,0
Spanish,1,0
Steve Allen,1,0
Ten prints,1,0
Thirteen 8x10-inch,1,0
Thirty 7-1/2x9-1/2-inch prints,1,0
Thirty prints,1,0
Thirty-one 7-1/2x9-1/2-inch,1,0
Thirty-six 4x6-inch color prints,1,0
Thirty-six 8x10-inch,1,0
Three drawings,1,0
Twelve 7-1/2x9-1/2-inch,1,0
Twelve prints,1,0
Twenty-eight prints,1,0
Twenty-five 7-1/2x9-1/2-inch prints,1,0
Twenty-five prints,1,0
Twenty-nine prints,1,0
Twenty-one 7-1/2x9-1/2-inch,1,0
Twenty-seven sheets,1,0
Twenty-six 4x6-inch color                                     prints,1,0
Twenty-six 4x6-inch color prints,1,0
Twenty-three 4x6-inch color prints,1,0
Twenty-three 7-1/2x9-1/2-inch,1,0
Two 7-1/2x 9-1/[x] inch,1,0
Two 7-1/2x10-inch,1,0
Two copies on two CDROMS,1,0
Two electrostatic prints on mylar,1,0
U-matic tape; 4:[x] min,1,1.0
U-matic tape; [x] min,1,1.0
U-matic tapes,1,5.0
U-matic use copy of films,1,1.0
U-matic videocassettes,1,2.0
U-matic videotapes,1,2.0
USB thumb drives,1,2.0
V,1,0
VHS format,1,0
VHS videocassette,1,1.0
Volumes 1-11,1,0
Volumes 12-21,1,0
X10,1,0
ZIP files),1,0
[New York World's Fair (1939-1940). America At Home. Parents' retreat room],1,0
a few neagtives,1,0
about [x] cassettes,1,0
accordion folder,1,1.0
accordion folder),1,1.0
activities; 10/[x] by U-M News Service,1,0
albums in [x] envelope,1,2.0
alphabetically by surname,1,0
also  medium,1,0
also [x] photocopies of related material,1,0
also [x] photographs given by Seaver,1,0
also medium D[x] for earlier chapter house,1,0
also tintype (in UBImux F99),1,0
also with Dagmar,1,0
approx. 2x2-1/2,1,0
approx. [x] cassettes,1,0
approx. [x] postcards,1,0
architecture,1,0
archival DVD,1,1.0
articles,1,4.0
audio cassette tape,1,1.0
audio cassette tapes,1,54.0
audio tape,1,1.0
audio tapes,1,3.0
audio-cassette,1,1.0
audio-cassette; [x] minutes,1,1.0
audiotape,1,1.0
b&w,1,0
b&w 8x [x] photos,1,2.0
b&w 8x10,1,1.0
b&w [x] x [x] glossy photo,1,1.0
b&w photograph,1,1.0
b&w photographs on [x] sheet,1,12.0
b&w photos lined as panorama,1,4.0
b&w print,1,1.0
b&w print with negative,1,0
b&w prints),1,2.0
b/w negs,1,0
beta videotapes,1,4.0
betacams,1,4.0
binder in expandable folder,1,1.0
binder),1,1.0
binders in [x] portfolios,1,3.0
black & white images of varying size,1,12.0
black & white prints,1,0
black-and-white,1,0
black-and-white                                         photographs,1,0
black-and-white                                     prints,1,0
black-and-white original,1,0
black-and-white print by unknown                   photographer,1,0
black-and-white prints by Sheill,1,0
black-and-white prints by The Conrad Studio,1,0
blacklines,1,0
blue,1,0
blue marker on tracing paper; colored pencil on tracing paper,1,0
blue-line prints,1,0
blue-line prints with marker                                     coloring,1,0
bluelines,1,0
"blueprints (81/2"" x 11"")",1,54.0
blueprints with pastel,1,2.0
bound,1,0
bound album contains [x] prints; no negatives,1,0
bound documents,1,2.0
bound manuscripts in [x] folder,1,2.0
bound ms,1,2.0
bound sets,1,2.0
bound sheets for 1916,1,60.0
bound sheets for 1917,1,40.0
bound volumes folders,1,2.0
bound volumes with index,1,23.0
box of color contact sheets,1,1.0
boxes 57-73,1,0
boxes 74-87,1,0
broken plates,1,2.0
but is most probably by Gillies,1,0
but most probably by Gillies,1,0
but most probably of Cadillac Service Building,1,0
ca [x] 5x[x] b/w negatives,1,100.0
ca. 0.[x] lin. ft,1,0.3
ca. 1,1,0
ca. 1.[x] linear ft,1,1.5
ca. 11x[x] black,1,0
ca. 15-[x] min,1,0
ca. 1943,1,0
ca. 9.[x] linear ft,1,9.5
ca. [x]  linear ft,1,1.0
ca. [x] 5x[x] b/e negatives,1,100.0
ca. [x] b/w prints,1,40.0
ca. [x] coor prints  with 35mm negatives,1,50.0
ca. [x] hour,1,1.0
ca. [x] in,1,5.0
ca. [x] inches,1,6.0
ca. [x] linear ft,1,75.0
ca. [x] slides,1,35.0
ca. [x] slides in [x] file boxes,1,200.0
ca. [x] sound cassettes in six boxes),1,400.0
call no. UBImul/B3,1,0
canister,1,1.0
card boxes,1,2.0
card file box,1,1.0
card file boxes,1,2.0
carousel,1,1.0
case of [x] cassette tapes,1,1.0
cassete tapes,1,2.0
cassette tapes: [x] sides,1,2.0
cassettes folders,1,8.0
cassettes in [x] card file box,1,37.0
cassettes in [x] card file boxes,1,103.0
cassettes in [x] cassette boxes,1,32.0
cassettes in a vinyl case,1,2.0
cassettes in case,1,9.0
cassettes with duplicate copies,1,2.0
catalogues,1,5.0
cd case,1,1.0
cd sleeves),1,0
cd-r),1,1.0
cd-rom,1,1.0
cd2,1,2.0
cdS,1,2.0
cds in cd case,1,0
cds. cs,1,2.0
chapters,1,6.0
circa seventy-five sheets,1,0
color 8x10s,1,2.0
color contact sheet (see also [x] oversize color print),1,1.0
color photos,1,7.0
color positive print,1,1.0
color scans,1,0
color slides with index,1,76.0
color snapshot,1,1.0
color; mostly 8x10,1,1.0
colored pencil on tracing paper,1,0
colored pencil on tracing paper; pencil on notebook paper,1,0
colored pencil on tracing paper; pencil on vellum,1,0
columnar pads,1,4.0
compact discs),1,11.0
complete issues,1,5.0
"contact sheet (see also ""Witness"" for other contact sheet)",1,1.0
contact sheet (see also [x] oversize contact sheets),1,1.0
contact sheet only,1,0
"contact sheets (see also ""Sitting Harlequin"")",1,2.0
"contact sheets (see other contact sheets with ""Suite to Sleep"")",1,2.0
contents not listed,1,0
coor slides,1,60.0
copies of 1941),1,2.0
copies with various combinations of views,1,6.0
copies; [x] min,1,2.0
copies; different drafts,1,2.0
correspondence,1,0
crayon on tracing paper ; 32.[x] x 61.[x] cm. (12-1/[x] x [x] in.) or smaller,1,0
cups,1,2.0
cuts: [x] sec,1,2.0
demolition,1,0
details,1,0
developed Negative strips,1,10.0
dicscs,1,4.0
different images,1,2.0
digital files,1,163.0
disc (sides 1,1,1.0
discs ([x] sides),1,2.0
disk produced 8/1/2001,1,0
diskettes,1,42.0
double images on two negatives,1,0
drafts,1,2.0
drawing : pencil,1,1.0
ds,1,2.0
duplicates,1,0
dvd,1,0
each segment :30,1,0
"efour 7"" reels",1,0
eight 3-1/4x4-inch,1,0
eight 8x10-inch,1,0
eight architectural,1,0
eight enlargements,1,0
eight folders,1,0
eight survey,1,0
eighteen [x] mm. negatives,1,0
eighteen drawings,1,0
eighteen perspectives,1,0
eighty-six color slides,1,0
elevations,1,0
elevations. Blueprints,1,2.0
eleven architectural drawings,1,0
eleven color transparencies,1,0
eleven drawings,1,0
eleven perspectives,1,0
eleven prints by unknown photographers,1,0
eleven prints of drawings,1,0
embroidered,1,2.0
envelope of loose photographs,1,1.0
envelopes),1,3.0
eps,1,0
eps files,1,0
essays,1,2.0
expand able folders,1,2.0
expandable folder),1,1.0
expandable folders),1,2.0
expanding file,1,1.0
expanding folder,1,0
f linear ft,1,0
fifteen architectural sketches,1,0
fifteen black-and-white prints of various sizes,1,0
fifteen color transparencies,1,0
fifteen survey,1,0
fifty 4x6-inch,1,0
fifty prints,1,0
fifty surveys,1,0
fifty-eight color slides,1,0
fifty-five 4x6-inch,1,0
fifty-nine prints,1,0
fifty-six 8x10-inch,1,0
fifty-three prints,1,0
fifty-two surveys,1,0
file packet,1,1.0
files (160.[x] MB),1,144.0
files folders,1,2.0
files on three CDs,1,86.0
five 4x6-1/4-inch,1,0
five 8x10-inch,1,0
five black-and-white prints of various sizes,1,0
five color slides,1,0
five drawings,1,0
five prints with interleaving,1,0
floppy discs,1,2.0
floppy disk,1,1.0
floppy sound discs,1,5.0
foldder,1,1.0
folder of loose materials,1,1.0
folder of negatives,1,1.0
folder of typescripts,1,1.0
folder outsize,1,1.0
folder; [x] binder,1,1.0
folder>,1,1.0
folders 1-11),1,0
folders 1-14,1,0
folders 1-15,1,0
